location,date difference,lack,spending,Population - Sex: all - Age: all - Variant: estimates,GDP per capita,Domestic general government health expenditure (% of GDP),lack per population,urgency,log_urgency,Economy
Albania,39,62250.0,38086.2580748257,2811660,12978.101,2.9346557,0.022139945797144747,179224946.47779173,8.253398459364096,Developed
Gabon,117,18125.0,29866.614882503,2484790,15720.901,1.899803,0.007294379001847239,176428022.20739657,8.246567565622984,Developed
Slovakia,30,157303.0,159758.6167017849,5518057,27519.287,5.8053327,0.02850695453127795,162997202.5655319,8.21218015090225,Developed
Jamaica,100,17813.0,33636.9007441665,2839785,7481.6685,4.495909,0.006272657965303711,150385704.64543393,8.177206555080929,Developing
Australia,79,28906.0,416194.081575102,26451125,52049.43,7.9961314,0.0010928079618541745,145132052.55623102,8.161763337393205,Developed
Croatia,26,196448.0,171581.4561696768,3896024,26986.752,6.3579884,0.05042268733457494,115977097.03473654,8.064372233938206,Developed
Uruguay,85,50992.0,132542.67900937598,3388083,20181.94,6.5673904,0.015050398706289072,110794772.05618569,8.044519268328184,Developed
Botswana,119,26896.0,75574.63626542,2480242,16351.91,4.621762,0.01084410311574435,105039500.8601618,8.021352649351487,Developed
Oman,24,126573.0,230655.886593875,5049268,47988.65,4.8064675,0.025067593956193256,66499165.45396031,7.82281619506229,Developed
Lithuania,23,131802.0,159758.584157996,2854105,30863.32,5.1763253,0.04617980067306564,54157122.33198932,7.733655579817775,Developed
Kuwait,24,146949.0,405627.655003296,4838780,71533.516,5.670456,0.030369018636929142,42071325.66723374,7.62398619684927,Developed
Singapore,26,57952.0,254844.0587536074,5789091,80320.086,3.1728559,0.010010552606618206,34227693.92817374,7.534377639774556,Developed
Qatar,55,98772.0,493747.4089162889,2979087,149171.11,3.3099399,0.03315512437199719,32777429.65687914,7.515574894030046,Developed
Cape Verde,110,14256.0,26678.8220808395,522335,7202.767,3.7039685,0.027292829314520376,30702436.97859037,7.487172848583042,Developing
Montenegro,83,69607.0,149412.834372462,633557,20941.805,7.1346684,0.10986698907911996,24497896.64716797,7.389128798089344,Developed
Slovenia,23,109212.0,224171.283010752,2118395,32673.762,6.860896,0.05155412470290007,23736963.48414431,7.3754251616941495,Developed
Finland,30,39757.0,318278.28063172044,5601185,40701.465,7.8198237,0.007097962306190565,20989774.571140483,7.32200777431201,Developed
Cambodia,68,135.0,8195.91845063368,17423881,3944.2468,2.0779426,7.747986800414901e-06,19515961.33409955,7.290389948997318,Developing
Denmark,14,107114.0,469607.39311512,5948134,50689.68,9.264359,0.01800800049225522,18994159.982650425,7.2786200916276975,Developed
Bahrain,19,51097.0,114454.49949439999,1569674,38651.6,2.961184,0.03255261920628105,13314522.556245694,7.124325597744126,Developed
Trinidad and Tobago,80,7226.0,87133.6544559642,1502936,25773.006,3.3808107,0.0048079226261131544,9971086.927371843,6.99874250242705,Developed
Gambia,114,75.0,2743.7129773740003,2697848,2010.5322,1.36467,2.779993535588365e-05,8407074.861772522,6.924644914659932,Developing
Yemen,156,1.0,848.47292508165,39390800,1959.3195,0.4330447,2.5386638504422352e-08,7242381.717022566,6.859881411012301,Developing
Ethiopia,125,1.0,2249.9970530059,128691696,2289.409,0.9827851,7.770509139921506e-09,7149548.030967051,6.854278588114203,Developing
Estonia,23,30840.0,179645.318613225,1367194,30067.395,5.974755,0.02255714989972162,5398292.900512062,6.7322564448046265,Developed
Cyprus,33,20002.0,199679.545569384,1344979,31523.498,6.334308,0.014871607660788756,4445998.242246194,6.647969286661908,Developed
United Republic of Tanzania,247,1.0,4907.732403885299,66617607,3057.3286,1.6052355,1.5011046554103933e-08,3352780.383048889,6.5254051067978285,Developing
Chad,188,1.0,1296.0714698162,19319073,1393.5635,0.9300412,5.176231799527855e-08,2802303.5832391735,6.447515182121678,Developing
New Zealand,72,1980.0,295970.93703336,5172839,38250.12,7.737778,0.00038276853387472526,2491595.746635354,6.396477580825328,Developed
Luxembourg,24,37931.0,259421.6105178089,665101,55484.777,4.6755457,0.05703043597889644,2333925.4718813617,6.36808698381413,Developed
Norway,4,38486.0,762568.88767635,5519166,88366.22,8.6296425,0.006973155002041975,1114184.5732691444,6.046957141028409,Developed
Benin,159,1.0,2151.614382431165,14111035,2477.0903,0.86860555,7.086652396510958e-08,1042777.2668375811,6.018191554722402,Developing
Guinea,105,1.0,1755.58005125154,14405469,1809.2666,0.9703269,6.941808003613073e-08,861580.9025180578,5.9352960639866,Developing
Saint Lucia,90,1262.0,29719.982802486003,179293,10452.165,2.8434284,0.00703875778753214,685198.8803404218,5.835816644628596,Developing
Liberia,159,1.0,1286.77561196618,5493034,811.2146,1.5862333,1.820487548411315e-07,678744.9170453778,5.831706590283961,Developing
Togo,110,1.0,1973.54428804546,9304344,1586.5889,1.2438914,1.0747667971003652e-07,518598.8711779163,5.714831567115678,Developing
Sierra Leone,111,1.0,2299.68258130578,8460523,1690.4982,1.3603579,1.181960027766605e-07,408368.5551363182,5.611052293511483,Developing
Malta,44,4333.0,249279.72886643998,532964,34496.34,7.226266,0.008130005028482224,407616.9891152334,5.6102522767211305,Developed
Mauritius,59,361.0,71755.68374731601,1273590,20643.094,3.476014,0.0002834507180489797,378035.4669258467,5.577532546841487,Developed
Ghana,94,1.0,8418.386746968241,33787915,4242.4106,1.9843404,2.959638083616583e-08,377277.0372118878,5.576660372877515,Developing
Guinea-Bissau,159,1.0,1156.3877943998561,2153344,1625.3876,0.71145356,4.6439398442608334e-07,296078.61450811126,5.471407039822499,Developing
China,11,1.0,58888.753859207995,1422584937,19238.18,3.0610356,7.029457250607736e-10,265728.73904604063,5.42443852668786,Developed
Latvia,1,16974.0,128594.1363783879,1882400,27220.303,4.7241993,0.009017212069698258,248470.56405419408,5.395274945882042,Developed
Rwanda,91,1.0,6433.186953750701,13954474,2198.0662,2.9267485,7.166160472978057e-08,197391.6105857367,5.2953286906145385,Developing
Tajikistan,154,1.0,11847.14652583224,10389808,5507.5454,2.1510756,9.624816935981878e-08,135056.18661094434,5.130514483002963,Developing
Uzbekistan,123,1.0,39115.3928395914,35652309,12559.401,3.1144314,2.804867421069418e-08,112110.18703003798,5.049645077090267,Developed
Republic of the Congo,131,1.0,8076.268456855299,6182889,4187.507,1.9286579,1.6173668975781385e-07,100288.69933273342,5.001251998883478,Developing
Laos,103,1.0,8277.79473388224,7665002,7168.1904,1.1547956,1.304631101205192e-07,95375.06442005372,4.979434844302538,Developing
Comoros,138,1.0,1470.5491089213,850390,1900.3983,0.773811,1.175931043403615e-06,79802.72082588468,4.902017698612935,Developing
Djibouti,134,1.0,3646.0283284658203,1152951,3623.0603,1.0063394,8.673395486885393e-07,42373.62414158991,4.627095610033178,Developing
Nicaragua,131,1.0,27174.0210168077,6823618,5092.8413,5.335729,1.4654982151697238e-07,32895.16694813432,4.517132094851444,Developing
Iceland,26,868.0,339711.273080668,387559,42145.594,8.060422,0.0022396589938564193,25746.662548708144,4.410720940926011,Developed
Lesotho,134,1.0,14091.38781245031,2311476,2312.9583,6.0923657,4.3262400301798503e-07,21980.644356855624,4.342040419503532,Developing
Cuba,159,1.0,86932.576753344,11019931,7648.704,11.365661,9.074466981689812e-08,20155.493998199014,4.304393446898038,Developing
Equatorial Guinea,102,1.0,19178.5307280432,1847556,22707.22,0.84460056,5.412555830513391e-07,9826.128741157629,3.992382449927856,Developed
Mongolia,83,1.0,42477.539638288006,3431939,13442.906,3.159848,2.913804703405276e-07,6705.918926228103,3.8264582985552824,Developed
Eswatini,122,1.0,29349.425816100003,1230508,8522.45,3.443778,8.126724897359465e-07,5114.988515981416,3.708844662984347,Developing
Ireland,167,1.0,317831.70343179,5196629,60257.082,5.274595,1.9243244033776513e-07,2730.4923757747374,3.4362409682132276,Developed
Sao Tome and Principe,108,1.0,9326.990303715242,230881,3751.6428,2.4861083,4.331235571571502e-06,2673.4398973340335,3.427070424999074,Developing
United Arab Emirates,32,1.0,267070.254171916,10642089,77203.67,3.4592948,9.396651352943956e-08,1275.1208443482678,3.1055513451987258,Developed
Barbados,73,1.0,43288.420710024,282348,11545.848,3.749263,3.541728646917988e-06,476.14127893622043,2.6777358341464272,Developing
Dominica,81,1.0,31223.914814988504,66531,8879.6455,3.516347,1.5030587245043664e-05,172.59241936610388,2.2370217166412405,Developing
Seychelles,40,1.0,167651.203060925,127961,31055.39,5.3984575,7.814881096584116e-06,30.530290904861218,1.4847309424504496,Developed
